Date / Time,City,State,Shape,Duration,Summary,Posted
9/22/2014 21:00,Urbana,MD,Changing,30 minutes,Flickering light moving in circles and odd patterns. Speeding up and then stopping.,9/25/2014
9/22/2014 19:30,Jacksonville,FL,Unknown,3 minutes,((HOAX??)) I finally have it on tape.,9/25/2014
9/22/2014 19:30,Corinth,NY,Fireball,5-7 minutes,Orange Glowing Lights without any sound.,9/25/2014
9/22/2014 19:20,Van Buren,AR,Oval,,There were two different objects in the western sky one above the other. It looked like stars during the sunset and after the sun went,9/25/2014
9/22/2014 17:00,Florien,LA,Teardrop,1 minute,Metallic teardrop shaped.,9/25/2014
9/22/2014 12:30,High River (Canada),AB,Triangle,20 seconds,Large triangular craft with 6 pinkish glowing lites = approx 20 seconds,9/25/2014
9/22/2014 10:40,Moorpark,CA,,2 minutes,4 bright lights moving quick in the sky.,9/25/2014
9/22/2014 6:45,Yarmouth,MA,Light,~1-2 minutes,We were traveling south on the highway going to work. I noticed a dim light traveling to the left in the sky. It suddenly got extremely,9/25/2014
9/22/2014 5:00,White,GA,Unknown,1 hour,Two lights caught my eye. They Looked to bright to be stars and looked like they were moving. ((NUFORC Note: Planets? PD)),9/25/2014
9/22/2014 2:00,Clear Creek,WV,Light,40 minutes,Bright white light. My mom says it has happened before. Light moves back in fourth the. Would just stop and dissappear. Would just reap,9/25/2014
9/22/2014 0:00,Cannon Falls,MN,Unknown,6 hours,"A red orb of light was seen spotted 100 ft in the sky with an unsteady white blinking light slowly acended into the sky, once very high",9/25/2014
9/21/2014 23:31,Grande Prairie (Canada),AB,Flash,5-10 seconds,"Bright flash then travel at insane speeds, me and wife saw it, cannot explain it.",9/25/2014
9/21/2014 22:40,Boise,ID,Fireball,2 minutes,"I saw a bright orange circular object that hovered then zoomed off, it resembled fire but with more solidity..",9/25/2014
9/21/2014 22:15,Horsham,PA,Light,7 seconds,HI SPEED OBJECT.,9/25/2014
9/21/2014 21:30,Iowa City,IA,Light,3 minutes,"Pulsing orange yellow light moving in a straight line. thought it must be a helicopter, but no sound. It abruptly changed directions",9/25/2014
9/21/2014 21:00,Wenatchee,WA,Light,45 seconds,Small orb orbiting larger white light.,9/25/2014
9/21/2014 20:45,Corte Madera,CA,Disk,5 minutes,Luminous red disc shaped craft seen on top of hillside,9/25/2014
9/21/2014 19:38,Rice,WA,Light,15 seconds,Massive bright light that just blinked out of sight.,9/25/2014
9/21/2014 18:45,Sedona/Cottonwood looking NE,AZ,Light,2 hours,"Repeating flashes of light across the low NE sky, with no clouds, no rain, no weather.",9/25/2014
9/21/2014 18:00,Galveston,TX,Circle,8 minutes,Strange shape was hovering over near Galveston near the sea wall . Was moving slowly till it faded away.,9/25/2014
9/21/2014 13:30,Riverside/Fairborn,OH,Changing,2 minutes,Silver object hovering over Riverside/Fairborn Area close to WPAFB.,9/25/2014
9/21/2014 13:00,Lawrenceville,GA,Cigar,1 minute,"I saw one metallic colored, cigar shaped object, comparable to the size and shape of a commercial passenger aircraft, but had no wings.",9/25/2014
9/21/2014 11:00,Calgary (Canada),AB,Cigar,1 minute,Strange Huge Shiny Object in the Sky.,9/25/2014
9/21/2014 10:34,Longmont (north of; on I-25),CO,Formation,1-2 minutes,"UFO with visible cloaking device in Northern Longmont, Colorado.",9/25/2014
9/21/2014 5:15,Grannis,AR,Diamond,1 hour,"I first noticed a star-like light in the sky,while sitting outside smoking a cigarette. It was way brighter than the other stars.",9/25/2014
9/21/2014 4:00,Pearl River,LA,Changing,2 hours,Strange bright blue object moving erratically through night sky!!,9/25/2014
9/21/2014 2:00,Lithia,FL,Sphere,10 seconds,"Bright orange/yellow light, which appeared for about 10 seconds and then disappeared in a cloud.",9/25/2014
9/21/2014 2:00,Smithville,MO,Triangle,2 hours,triangle shaped blurred ufo,9/25/2014
9/21/2014 1:57,Sanford,FL,Fireball,5 minutes,While driving we looked up at the night sky at 1:57AM and saw what appeared to look like a rocket with an orange flame in the sky,9/25/2014
9/21/2014 1:00,Euless,TX,Chevron,30-60 seconds,List the date and time of the sighting; sept 21 2014 around1 am.,9/25/2014
,,,,,,
,,,,,How many witnesses and whether they are willing to report the sigh,
9/21/2014 0:45,Hillsboro,TX,Other,15+ minutes,Flashing star split into to separate stationary objects.,9/25/2014
