Date / Time,City,State,Shape,Duration,Summary,Posted
8/31/2014 23:50,Panama City Beach,FL,Other,20 minutes,"V-shape, HUGE, no lights, no sound.",9/5/2014
8/31/2014 23:45,Topsail/Surf City,NC,Light,still see them,"I am sitting on beach access bench looking at what I thought were stars, but they are changing colors and moving. Moving mostly slow so",9/5/2014
8/31/2014 23:15,Eastport,MI,Unknown,2-3 minutes,Two witnesses see steady red light on silent flying object of undetermined size moving south to north over Grand Traverse Bay.,9/5/2014
8/31/2014 22:35,El Cajon,CA,Triangle,7 seconds,Dark grey triangle ship??,9/5/2014
8/31/2014 22:30,Scribner,NE,Teardrop,1 second,Round metal craft with red light trail flew across highway 50 feet in front of moving car at just above windshield height.,9/5/2014
8/31/2014 22:15,Elkhorn,WI,Fireball,5 minutes,Red flickering light heading north from Elkhorn Wisconsin.,9/5/2014
8/31/2014 22:00,Brunswick,OH,Cylinder,1-2 minutes,Bright orange elngated circle flew swiftly across the sky from southeast to north.,9/5/2014
8/31/2014 22:00,Dayton,OH,Fireball,5 minutes,Bright fireball/ord seen over house.,9/5/2014
8/31/2014 21:50,Dayton,OH,Sphere,15 minutes,Strange object with bright lights flying and hovering over Harrison Twp in Dayton.,9/5/2014
8/31/2014 21:45,Montrose,MI,Sphere,2 minutes,"Pulsating bright orange orb over Montrose, Michigan.",9/5/2014
8/31/2014 21:45,Hummelstown,PA,Rectangle,15 minutes,Mysterious lights.,9/5/2014
8/31/2014 21:30,Sabula,IA,Chevron,3 minutes,"Sabula, Iowa, chevron shaped craft.",9/5/2014
8/31/2014 21:30,Saline,MI,Circle,5 minutes,3 amber/orange circles in triangle pattern.,9/5/2014
8/31/2014 21:23,Racine,WI,Circle,30 seconds,Red-orange sphere Racine,9/5/2014
8/31/2014 21:10,Greenwood,IN,Cylinder,30 seconds,Observed by two witnesses.,9/5/2014
8/31/2014 21:00,Pompton Lakes,NJ,Sphere,10 minutes,"3 red-orange lights over Pompton Lakes, NJ",9/5/2014
8/31/2014 20:50,Bettendorf,IA,Circle,10 seconds,"Large round red-orange glowing or burning object, shooting very fast through the sky going north, bigger than a plane & faster.",9/5/2014
8/31/2014 20:30,Cullowhee,NC,Unknown,1 hour,4 spot light like lights that move apart then back together. ((NUFORC Note: Advertising lights. PD)),9/5/2014
8/31/2014 19:00,St. Louis Park,MN,Disk,"3 minutes, 30 seconds","Large dark black,blue tilting,wablleing object from N.mpls flew over lake Harriet area,then quickly into strange cloud over downtown.",9/5/2014
8/31/2014 18:25,San Tan Valley,AZ,Light,5 minutes,Huge bright object just above mountain peak.,9/5/2014
8/31/2014 12:30,Bellingham,WA,Light,45 seconds,"Orange light/flare rising quickly, changing directions fairly rapidly, blinking twice then disappearing.",9/5/2014
