"ObservationDate","Height","Build","HeightFeet","HeightInches","EstimatedWeightPounds","BMI","CDCWeightStatus"
"5/11/1947","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"2/1/1962","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/10/1962","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"9/13/1964","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"4/4/1966","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/20/1967","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"4/9/1968","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/1/1968","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/16/1969","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"7/1/1969","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"10/11/1969","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/6/1973","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/1/1965","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/22/1966","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"3/24/1973","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"4/14/1973","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"2/1/1972","9 ft","very heavy",9,108,1012,60.9941700960219,"Obese"
"3/14/1973","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"5/12/1973","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"9/17/1973","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"11/11/1973","over 14 ft","heavy",14,168,648.5,16.1527600623583,"Underweight"
"8/14/1971","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/17/1970","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/4/1969","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"10/6/1973","9 ft","very heavy",9,108,1012,60.9941700960219,"Obese"
"10/30/1967","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/4/1986","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/17/1975","10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"5/1/1981","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"5/1/1982","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"1/1/1984","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"2/1/1984","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"2/1/1984","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"2/1/1984","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"5/17/1989","6 ft","thin",6,72,428.5,58.108699845679,"Obese"
"6/1/1928","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
