"ObservationDate","Height","Build","HeightFeet","HeightInches","EstimatedWeightPounds","BMI","CDCWeightStatus"
"7/18/1982","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"4/6/1985","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/25/1990","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"1/4/1992","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1960","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/1/1969","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"12/14/1979","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"5/3/1980","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"8/1/1987","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"7/1/1989","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"11/1/1990","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"11/1/1993","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"5/1/1966","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"5/18/1977","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1975","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/26/1979","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/11/1973","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/1/1973","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/10/1975","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"7/1/1975","7 ft","thin",7,84,428.5,42.6921060090703,"Obese"
"3/8/1977","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"3/5/1977","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/21/1978","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"8/26/1978","5 ft","very heavy",5,60,1012,197.621111111111,"Obese"
"6/17/1980","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"6/22/1980","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"6/25/1980","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"7/15/1980","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"6/24/1981","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"8/2/1981","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"8/22/1981","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"5/19/1986","8 ft","medium",8,96,529,40.3523220486111,"Obese"
"2/3/1987","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"5/6/1987","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/22/1988","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"1/24/1989","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"11/1/1989","7 ft","thin",7,84,428.5,42.6921060090703,"Obese"
"5/16/1990","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/21/1993","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/11/1994","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/1/1995","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/31/1996","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/11/1996","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/1/1990","10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"3/1/1995","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"11/1/1973","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"9/1/1977","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/1/1964","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/30/1970","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/8/1981","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"3/6/1978","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/1/1989","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/30/1978","5 ft","heavy",5,60,648.5,126.637638888889,"Obese"
"5/5/1988","7 ft","thin",7,84,428.5,42.6921060090703,"Obese"
"10/22/1990","8 ft","medium",8,96,529,40.3523220486111,"Obese"
"11/1/1966","5 ft","very heavy",5,60,1012,197.621111111111,"Obese"
"11/30/1966","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"7/1/1973","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/9/1974","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/26/1971","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/24/1974","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"12/19/1974","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"3/24/1975","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"6/17/1977","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"6/19/1976","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"2/9/1977","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"2/6/1977","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"3/25/1977","10 ft","thin",10,120,428.5,20.9191319444444,"Normal"
"7/22/1977","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"8/1/1977","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"11/1/1977","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/1/1955","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"4/1/1979","9-10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"6/1/1979","5-6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"8/24/1986","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/24/1995","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/1/1976","5-6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"8/8/1978","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"8/7/1978","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"8/1/1978","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"12/1/1974","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"6/4/1978","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"11/7/1967","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/1/1977","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"12/20/1977","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"5/1/1974","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"1/15/1979","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"8/22/1965","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/12/1980","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/20/1992","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"7/11/1969","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/11/1977","7 ft","thin",7,84,428.5,42.6921060090703,"Obese"
"6/19/1978","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/1/1978","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"2/2/1981","6 ft","medium",6,72,529,71.7374614197531,"Obese"
"1/1/1992","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"8/1/1995","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"6/29/1972","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"3/28/1987","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"8/23/1982","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"12/11/1987","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/25/1973","5 ft","very heavy",5,60,1012,197.621111111111,"Obese"
"7/26/1973","5 ft","very heavy",5,60,1012,197.621111111111,"Obese"
"5/1/1968","7-8 ft","medium",8,96,529,40.3523220486111,"Obese"
"6/3/1973","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/4/1973","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/19/1973","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"2/6/1981","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/1/1989","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"8/5/1989","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"10/1/1994","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"8/1/1991","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"5/21/1966","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"6/1/1975","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"5/23/1981","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"1/21/1975","5-6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"1/1/1975","5 ft","heavy",5,60,648.5,126.637638888889,"Obese"
"5/1/1975","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/24/1976","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/25/1976","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/1/1976","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"3/1/1977","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"2/1/1982","7-8 ft","thin",8,96,428.5,32.6861436631944,"Obese"
"8/20/1984","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/10/1990","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"11/12/1978","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/1/1986","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"7/1/1954","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/1/1973","9-10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"9/2/1973","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"3/30/1975","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/2/1975","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"5/1/1976","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"7/18/1980","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1980","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"8/1/1981","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"6/12/1982","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/10/1982","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"12/13/1985","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"5/17/1988","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"4/20/1989","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"6/22/1990","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/5/1991","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"6/7/1991","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/1/1991","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"2/19/1994","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"1/22/1996","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/23/1968","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/1/1968","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/8/1970","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"11/1/1970","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"12/1/1974","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"4/1/1972","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"4/24/1974","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/1/1974","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"10/1/1975","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"7/1/1976","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/1/1982","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"4/9/1986","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/22/1981","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/1/1988","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"3/13/1994","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/1/1993","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/1/1993","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"4/1/1990","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1972","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"10/16/1998","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1982","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"7/1/1978","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/1/1979","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/15/1998","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"5/1/1997","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"7/1/1997","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"7/16/1997","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"7/18/1997","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"7/21/1997","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"7/21/1997","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/17/1997","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"6/1/1984","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/1/1988","8 ft","medium",8,96,529,40.3523220486111,"Obese"
"7/1/1991","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"9/23/1993","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/9/1996","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"12/1/1994","7-8 ft","medium",8,96,529,40.3523220486111,"Obese"
"5/14/1998","6 ft","medium",6,72,529,71.7374614197531,"Obese"
"4/1/1993","5-6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"6/1/1978","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"10/1/1994","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"7/31/1996","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"4/1/1984","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/10/1998","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/1/1999","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"3/1/1996","7 ft","medium",7,84,529,52.7050736961451,"Obese"
"7/1/1993","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"11/1/1983","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"10/1/1980","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"7/1/1993","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"9/13/1999","7 ft","medium",7,84,529,52.7050736961451,"Obese"
"12/22/1999","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"2/2/2000","7 ft","medium",7,84,529,52.7050736961451,"Obese"
"5/1/1971","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"3/28/2000","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"11/1/1983","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"11/1/1941","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1994","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"11/1/1979","10 ft","heavy",10,120,648.5,31.6594097222222,"Obese"
"4/20/1999","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/21/1999","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"5/1/1992","7 ft","medium",7,84,529,52.7050736961451,"Obese"
"1/11/1998","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"11/1/1978","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"11/1/1984","7 ft","medium",7,84,529,52.7050736961451,"Obese"
