"ReportedYear","ReportedMonth","State","UFO_Shape","NumberSeen","DurationInSeconds","DurationSecondsMin","DurationSecondsMax","DurationSecondsMean","DurationSecondsMedian","DurationSecondsStandardDeviation"
"2014","08","TN","Unknown",2,1380,480,900,690,690,296.98484809835
"2014","08","TX","Circle",5,400,0,240,80,40,101.980390271856
"2014","08","TX","Cone",1,30,30,30,30,30,NA
"2014","08","TX","Fireball",2,420,120,300,210,210,127.279220613579
"2014","08","TX","Light",12,5030,0,2700,419.166666666667,90,829.711979964716
"2014","08","TX","Rectangle",2,200,20,180,100,100,113.137084989848
"2014","08","TX","Sphere",1,3600,3600,3600,3600,3600,NA
"2014","08","TX","Triangle",4,5713,3,5400,1428.25,155,2651.44719917256
"2014","08","TX","Unknown",1,30,30,30,30,30,NA
"2014","08","UT","",1,1200,1200,1200,1200,1200,NA
"2014","08","UT","Changing",1,30,30,30,30,30,NA
"2014","08","UT","Circle",1,30,30,30,30,30,NA
"2014","08","UT","Light",2,25,5,20,12.5,12.5,10.6066017177982
"2014","08","UT","Triangle",1,1200,1200,1200,1200,1200,NA
"2014","08","UT","Unknown",2,360,180,180,180,180,0
"2014","08","VA","Chevron",1,180,180,180,180,180,NA
"2014","08","VA","Cigar",1,600,600,600,600,600,NA
"2014","08","VA","Circle",2,2880,180,2700,1440,1440,1781.9090885901
"2014","08","VA","Fireball",4,2100,300,600,525,600,150
"2014","08","VA","Light",3,255,30,180,85,45,82.6135582092915
"2014","08","VA","Triangle",2,240,120,120,120,120,0
"2014","08","VT","Circle",1,180,180,180,180,180,NA
"2014","08","VT","Rectangle",1,900,900,900,900,900,NA
"2014","08","VT","Sphere",1,300,300,300,300,300,NA
"2014","08","VT","Triangle",1,60,60,60,60,60,NA
"2014","08","WA","Cigar",1,4,4,4,4,4,NA
"2014","08","WA","Circle",3,480,120,180,160,180,34.6410161513775
"2014","08","WA","Diamond",1,4,4,4,4,4,NA
"2014","08","WA","Disk",1,2,2,2,2,2,NA
"2014","08","WA","Egg",1,600,600,600,600,600,NA
"2014","08","WA","Fireball",4,188,0,180,47,4,88.6867145255327
"2014","08","WA","Formation",3,2400,300,1800,800,300,866.025403784439
"2014","08","WA","Light",13,2770,0,900,213.076923076923,120,261.378863446167
"2014","08","WA","Other",1,45,45,45,45,45,NA
"2014","08","WA","Oval",1,10,10,10,10,10,NA
"2014","08","WA","Sphere",4,346,1,300,86.5,22.5,142.825067827745
"2014","08","WI","Cigar",1,900,900,900,900,900,NA
"2014","08","WI","Circle",4,3570,30,2700,892.5,420,1227.77237303989
"2014","08","WI","Diamond",1,0,0,0,0,0,NA
"2014","08","WI","Disk",1,30,30,30,30,30,NA
"2014","08","WI","Fireball",9,2940,60,900,326.666666666667,300,230.651251893416
"2014","08","WI","Light",8,1773,0,1200,221.625,75,407.635669790702
"2014","08","WI","Oval",1,60,60,60,60,60,NA
"2014","08","WI","Triangle",2,720,300,420,360,360,84.8528137423857
"2014","08","WV","Circle",2,1230,30,1200,615,615,827.314933988261
"2014","08","WV","Fireball",1,15,15,15,15,15,NA
"2014","08","WV","Light",1,30,30,30,30,30,NA
"2014","08","WY","Cone",1,120,120,120,120,120,NA
"2014","08","WY","Light",1,0,0,0,0,0,NA
"2014","08","WY","Other",1,0,0,0,0,0,NA
"2014","08","WY","Teardrop",1,10,10,10,10,10,NA
"2014","08","WY","Triangle",1,60,60,60,60,60,NA
"2014","09","AK","Circle",1,10,10,10,10,10,NA
"2014","09","AK","Light",1,900,900,900,900,900,NA
"2014","09","AK","Triangle",1,60,60,60,60,60,NA
"2014","09","AL","",1,300,300,300,300,300,NA
"2014","09","AL","Cigar",1,5,5,5,5,5,NA
"2014","09","AL","Circle",1,240,240,240,240,240,NA
"2014","09","AL","Egg",1,5,5,5,5,5,NA
"2014","09","AL","Light",5,860,20,300,172,180,130.843417870369
"2014","09","AR","Diamond",1,3600,3600,3600,3600,3600,NA
"2014","09","AR","Oval",1,0,0,0,0,0,NA
"2014","09","AZ","Changing",2,1200,300,900,600,600,424.264068711929
"2014","09","AZ","Circle",2,420,120,300,210,210,127.279220613579
"2014","09","AZ","Diamond",1,0,0,0,0,0,NA
"2014","09","AZ","Fireball",5,3900,300,1800,780,300,690.65186599328
"2014","09","AZ","Light",2,10800,3600,7200,5400,5400,2545.58441227157
"2014","09","AZ","Other",1,600,600,600,600,600,NA
"2014","09","AZ","Oval",1,300,300,300,300,300,NA
"2014","09","AZ","Triangle",4,310,0,300,77.5,5,148.408220796558
"2014","09","AZ","Unknown",4,1207,0,1200,301.75,3.5,598.842425016799
"2014","09","CA","",3,180,30,120,60,30,51.9615242270663
"2014","09","CA","Changing",1,60,60,60,60,60,NA
"2014","09","CA","Chevron",1,5,5,5,5,5,NA
"2014","09","CA","Cigar",1,300,300,300,300,300,NA
"2014","09","CA","Circle",5,3657,0,3600,731.4,15,1603.64968119599
"2014","09","CA","Cylinder",3,2640,240,1200,880,1200,554.256258422041
"2014","09","CA","Diamond",2,1802,2,1800,901,901,1271.37799257341
"2014","09","CA","Disk",3,368,8,300,122.666666666667,60,155.760499913596
"2014","09","CA","Egg",1,120,120,120,120,120,NA
"2014","09","CA","Fireball",4,195,30,60,48.75,52.5,14.3614066163451
"2014","09","CA","Flash",3,26,1,15,8.66666666666667,10,7.09459888459759
"2014","09","CA","Light",14,5517,7,3600,394.071428571429,52.5,974.127101506836
"2014","09","CA","Other",4,4080,0,3600,1020,240,1724.41294358399
"2014","09","CA","Oval",1,300,300,300,300,300,NA
"2014","09","CA","Sphere",6,885,0,300,147.5,165,128.831285020371
"2014","09","CA","Triangle",1,0,0,0,0,0,NA
"2014","09","CA","Unknown",2,660,60,600,330,330,381.837661840736
"2014","09","CO","Circle",3,80,10,60,26.6666666666667,10,28.8675134594813
"2014","09","CO","Cylinder",1,10,10,10,10,10,NA
"2014","09","CO","Disk",1,300,300,300,300,300,NA
"2014","09","CO","Fireball",1,480,480,480,480,480,NA
"2014","09","CO","Formation",1,120,120,120,120,120,NA
"2014","09","CO","Light",5,1140,0,900,228,0,389.769162453881
"2014","09","CO","Other",1,1200,1200,1200,1200,1200,NA
"2014","09","CO","Oval",1,0,0,0,0,0,NA
"2014","09","CO","Sphere",2,5700,300,5400,2850,2850,3606.24458405139
"2014","09","CO","Teardrop",1,60,60,60,60,60,NA
"2014","09","CT","Circle",1,360,360,360,360,360,NA
"2014","09","CT","Fireball",2,2700,0,2700,1350,1350,1909.18830920368
"2014","09","CT","Light",2,3615,15,3600,1807.5,1807.5,2534.97781055377
"2014","09","CT","Sphere",1,30,30,30,30,30,NA
"2014","09","DE","Circle",1,120,120,120,120,120,NA
"2014","09","DE","Triangle",1,45,45,45,45,45,NA
"2014","09","FL","Chevron",1,15,15,15,15,15,NA
"2014","09","FL","Circle",5,1620,0,480,324,420,192.561678430575
"2014","09","FL","Cylinder",2,2100,300,1800,1050,1050,1060.66017177982
"2014","09","FL","Disk",1,1200,1200,1200,1200,1200,NA
"2014","09","FL","Egg",1,0,0,0,0,0,NA
"2014","09","FL","Fireball",2,310,10,300,155,155,205.060966544099
"2014","09","FL","Light",7,1613,0,900,230.428571428571,90,323.18924133437
"2014","09","FL","Other",1,240,240,240,240,240,NA
"2014","09","FL","Oval",1,180,180,180,180,180,NA
"2014","09","FL","Sphere",2,190,10,180,95,95,120.208152801713
"2014","09","FL","Teardrop",1,420,420,420,420,420,NA
"2014","09","FL","Triangle",3,150,30,60,50,60,17.3205080756888
"2014","09","FL","Unknown",4,7420,10,7200,1855,105,3564.14085019097
"2014","09","GA","Changing",1,600,600,600,600,600,NA
"2014","09","GA","Cigar",1,60,60,60,60,60,NA
"2014","09","GA","Circle",1,1200,1200,1200,1200,1200,NA
"2014","09","GA","Cylinder",1,900,900,900,900,900,NA
"2014","09","GA","Fireball",1,5,5,5,5,5,NA
"2014","09","GA","Flash",1,0,0,0,0,0,NA
"2014","09","GA","Formation",3,2160,60,1200,720,900,590.931468107766
"2014","09","GA","Light",1,120,120,120,120,120,NA
"2014","09","GA","Other",1,15,15,15,15,15,NA
"2014","09","GA","Sphere",1,5,5,5,5,5,NA
"2014","09","GA","Unknown",1,3600,3600,3600,3600,3600,NA
"2014","09","HI","Circle",2,900,300,600,450,450,212.132034355964
"2014","09","HI","Light",1,5400,5400,5400,5400,5400,NA
"2014","09","HI","Sphere",1,300,300,300,300,300,NA
"2014","09","IA","Light",2,3780,180,3600,1890,1890,2418.30519165799
"2014","09","IA","Other",2,360,60,300,180,180,169.705627484771
"2014","09","IA","Oval",1,10,10,10,10,10,NA
"2014","09","ID","Circle",1,120,120,120,120,120,NA
"2014","09","ID","Fireball",2,135,15,120,67.5,67.5,74.2462120245875
