ObservationDate,Height,Build
8/12/1995,8 ft,heavy
8/28/1995,7-8 ft,heavy
3/21/1988,8 ft,very heavy
3/30/1993,5-6 ft,very heavy
7/1/1963,6 ft,heavy
5/1/1984,7-8 ft,heavy
5/25/1997,7 ft,heavy
8/17/1993,9 ft,very heavy
2/14/1986,7 ft,very heavy
11/1/1992,6 ft,heavy
9/11/1993,10 ft,heavy
7/2/1996,8 ft,heavy
11/17/1988,6 ft,heavy
9/18/1993,7-8 ft,heavy
6/8/1991,7-8 ft,heavy
10/1/1973,8 ft,very heavy
12/21/1992,6 ft,medium
7/1/1987,8 ft,medium
2/25/1995,8 ft,heavy
11/10/1994,9 ft,heavy
4/3/1995,6 ft,heavy
6/26/1981,6 ft,heavy
11/1/1991,7 ft,heavy
6/1/1971,8 ft,heavy
11/1/1988,8 ft,heavy
8/17/1984,8 ft,medium
3/2/1995,7-8 ft,heavy
12/6/1975,7 ft,medium
7/1/1993,8 ft,heavy
12/1/1999,6 ft,medium
5/1/1978,7 ft,very heavy
5/31/1994,6 ft,thin
10/17/1958,8 ft,heavy
9/15/1974,7 ft,thin
12/31/1975,9 ft,medium
12/24/1983,11 ft,very heavy
1/1/1976,5 ft,heavy
2/23/1969,5-6 ft,very heavy
7/1/1949,7-8 ft,very heavy
5/15/1970,8 ft,very heavy
11/23/1962,7-8 ft,heavy
3/21/1973,11 ft,very heavy
12/8/1958,7-8 ft,medium
10/1/1960,8 ft,heavy
4/1/1956,7 ft,thin
11/1/1975,7 ft,heavy
8/27/1995,7-8 ft,heavy
11/1/1996,7-8 ft,heavy
6/1/1988,7 ft,very heavy
5/1/1991,5 ft,heavy
8/1/1994,7 ft,medium
11/20/1969,7 ft,very heavy
8/1/1965,9-10 ft,very heavy
10/11/1941,8 ft,heavy
11/1/1965,9-10 ft,medium
1/7/1970,7 ft,heavy
10/1/1955,5-6 ft,very heavy
8/1/1968,7-8 ft,very heavy
5/18/1969,9-10 ft,heavy
9/8/1959,7-8 ft,heavy
10/1/1948,7-8 ft,very heavy
8/15/1962,7-8 ft,medium
6/26/1965,13 ft,heavy
5/17/1968,5-6 ft,very heavy
8/1/1934,7-8 ft,very heavy
7/21/1966,7 ft,thin
7/3/1964,7 ft,heavy
9/20/1969,7-8 ft,very heavy
7/1/1971,8 ft,heavy
9/1/1971,8 ft,very heavy
7/1/1973,9 ft,heavy
7/13/1974,8 ft,very heavy
10/1/1974,8 ft,very heavy
9/1/1975,7 ft,very thin
10/1/1975,6 ft,heavy
1/22/1976,8 ft,heavy
7/10/1973,6 ft,heavy
4/1/1964,9-10 ft,very heavy
11/1/1967,7-8 ft,heavy
4/1/1970,9 ft,heavy
8/11/1970,9 ft,heavy
8/11/1970,9 ft,heavy
1/1/1973,7 ft,heavy
10/9/1972,7 ft,heavy
10/1/1973,7 ft,heavy
8/1/1975,8 ft,very heavy
9/14/1975,8 ft,very heavy
9/3/1975,6 ft,heavy
5/11/1976,9 ft,heavy
7/1/1964,10 ft,very heavy
9/19/1966,7 ft,very heavy
9/1/1967,8 ft,heavy
9/15/1970,8 ft,very heavy
9/17/1967,7-8 ft,heavy
9/17/1967,9-10 ft,very heavy
10/1/1967,7 ft,heavy
12/1/1967,6 ft,heavy
6/1/1968,6 ft,heavy
6/1/1968,6 ft,heavy
6/1/1968,5 ft,medium
8/4/1969,8 ft,heavy
8/4/1969,7-8 ft,heavy
9/30/1969,10 ft,heavy
9/13/1969,5-6 ft,medium
11/1/1969,8 ft,very heavy
5/20/1974,6 ft,heavy
10/1/1985,8 ft,very heavy
6/1/1989,7 ft,thin
9/30/1972,7 ft,very heavy
4/5/1973,5 ft,very heavy
8/1/1973,7-8 ft,very heavy
5/12/1974,7 ft,heavy
10/3/1976,7 ft,very heavy
3/4/1977,7-8 ft,very heavy
6/10/1982,9 ft,heavy
11/1/1985,5-6 ft,thin
3/20/1977,6 ft,heavy
8/20/1977,over 14 ft,heavy
5/1/1942,7-8 ft,very heavy
8/1/1956,7-8 ft,heavy
8/1/1954,13 ft,medium
8/24/1969,14 ft,heavy
9/1/1969,7-8 ft,heavy
6/1/1972,7 ft,heavy
10/1/1974,6 ft,heavy
5/11/1974,12 ft,heavy
6/1/1974,10 ft,heavy
11/1/1975,7-8 ft,heavy
11/1/1978,7 ft,heavy
8/1/1977,7-8 ft,very heavy
11/1/1993,8 ft,very heavy
5/26/1976,5-6 ft,very heavy
8/11/1968,10 ft,heavy
6/26/1973,7-8 ft,heavy
7/7/1973,8 ft,heavy
3/28/1977,7 ft,heavy
6/3/1988,9 ft,heavy
8/1/1962,7 ft,heavy
5/19/1973,5-6 ft,heavy
8/1/1972,6 ft,very heavy
8/22/1972,7-8 ft,very heavy
7/1/1979,6 ft,very heavy
2/1/1981,7 ft,thin
4/16/1981,8 ft,heavy
10/1/1983,8 ft,heavy
4/23/1969,6 ft,medium
11/26/1974,7-8 ft,very heavy
7/15/1976,6 ft,heavy
9/5/1977,8 ft,heavy
9/5/1977,7-8 ft,heavy
3/11/1978,7 ft,very heavy
7/13/1978,9 ft,heavy
10/1/1978,7-8 ft,heavy
11/19/1978,7 ft,heavy
12/2/1978,7 ft,heavy
1/1/1979,9-10 ft,very heavy
5/1/1979,8 ft,very heavy
6/13/1979,7 ft,heavy
10/7/1981,8 ft,heavy
12/14/1981,7 ft,heavy
7/18/1982,8 ft,very heavy
4/6/1985,8 ft,heavy
11/25/1990,7 ft,heavy
1/4/1992,7-8 ft,heavy
10/1/1960,7 ft,heavy
10/1/1969,7-8 ft,heavy
12/14/1979,7 ft,heavy
5/3/1980,6 ft,heavy
8/1/1987,7 ft,heavy
7/1/1989,8 ft,very heavy
11/1/1990,6 ft,very heavy
11/1/1993,7 ft,very heavy
5/1/1966,9-10 ft,very heavy
5/18/1977,8 ft,heavy
10/1/1975,7 ft,heavy
10/26/1979,7 ft,heavy
8/11/1973,8 ft,very heavy
8/1/1973,7-8 ft,heavy
7/10/1975,7 ft,very heavy
7/1/1975,7 ft,thin
3/8/1977,8 ft,heavy
3/5/1977,7-8 ft,heavy
8/21/1978,6 ft,heavy
8/26/1978,5 ft,very heavy
6/17/1980,7 ft,heavy
6/22/1980,7 ft,heavy
6/25/1980,7 ft,heavy
7/15/1980,7 ft,very heavy
6/24/1981,9 ft,heavy
8/2/1981,9-10 ft,very heavy
8/22/1981,6 ft,very heavy
5/19/1986,8 ft,medium
2/3/1987,8 ft,heavy
5/6/1987,7-8 ft,very heavy
8/22/1988,7 ft,heavy
1/24/1989,7 ft,very heavy
11/1/1989,7 ft,thin
5/16/1990,8 ft,heavy
7/21/1993,8 ft,heavy
4/11/1994,8 ft,heavy
8/1/1995,8 ft,heavy
7/31/1996,8 ft,heavy
8/11/1996,7-8 ft,heavy
8/1/1990,10 ft,very heavy
3/1/1995,7-8 ft,heavy
11/1/1973,10 ft,heavy
9/1/1977,7-8 ft,heavy
7/1/1964,7-8 ft,heavy
8/30/1970,7 ft,heavy
8/8/1981,7 ft,heavy
3/6/1978,7 ft,heavy
10/1/1989,7 ft,heavy
8/30/1978,5 ft,heavy
5/5/1988,7 ft,thin
10/22/1990,8 ft,medium
11/1/1966,5 ft,very heavy
11/30/1966,7 ft,very heavy
7/1/1973,7-8 ft,heavy
6/9/1974,8 ft,heavy
7/26/1971,8 ft,heavy
9/24/1974,7 ft,heavy
12/19/1974,7 ft,heavy
3/24/1975,8 ft,very heavy
6/17/1977,7 ft,very heavy
6/19/1976,7-8 ft,heavy
2/9/1977,7 ft,heavy
2/6/1977,7 ft,heavy
3/25/1977,10 ft,thin
7/22/1977,9-10 ft,very heavy
8/1/1977,7 ft,heavy
11/1/1977,8 ft,very heavy
8/1/1955,6 ft,heavy
4/1/1979,9-10 ft,heavy
6/1/1979,5-6 ft,heavy
8/24/1986,7-8 ft,heavy
8/24/1995,8 ft,heavy
4/1/1976,5-6 ft,heavy
8/8/1978,9 ft,heavy
8/7/1978,9 ft,heavy
8/1/1978,9 ft,heavy
12/1/1974,6 ft,heavy
6/4/1978,7-8 ft,very heavy
11/7/1967,8 ft,heavy
8/1/1977,6 ft,heavy
12/20/1977,6 ft,heavy
5/1/1974,7 ft,heavy
1/15/1979,6 ft,heavy
8/22/1965,7 ft,heavy
10/12/1980,7 ft,heavy
8/20/1992,9 ft,heavy
7/11/1969,7 ft,heavy
8/11/1977,7 ft,thin
6/19/1978,7 ft,heavy
8/1/1978,7-8 ft,heavy
2/2/1981,6 ft,medium
1/1/1992,7-8 ft,very heavy
8/1/1995,6 ft,heavy
6/29/1972,7-8 ft,heavy
3/28/1987,7 ft,very heavy
8/23/1982,6 ft,heavy
12/11/1987,8 ft,heavy
7/25/1973,5 ft,very heavy
7/26/1973,5 ft,very heavy
5/1/1968,7-8 ft,medium
6/3/1973,8 ft,heavy
6/4/1973,8 ft,heavy
7/19/1973,8 ft,heavy
2/6/1981,7-8 ft,heavy
8/1/1989,6 ft,heavy
8/5/1989,6 ft,heavy
10/1/1994,7 ft,very heavy
8/1/1991,7 ft,heavy
5/21/1966,7-8 ft,very heavy
6/1/1975,6 ft,heavy
5/23/1981,7 ft,heavy
1/21/1975,5-6 ft,heavy
1/1/1975,5 ft,heavy
5/1/1975,7-8 ft,heavy
8/24/1976,7-8 ft,heavy
8/25/1976,8 ft,heavy
9/1/1976,7-8 ft,heavy
3/1/1977,7-8 ft,heavy
2/1/1982,7-8 ft,thin
8/20/1984,7-8 ft,heavy
6/10/1990,7 ft,heavy
11/12/1978,7 ft,heavy
10/1/1986,7 ft,very heavy
7/1/1954,7 ft,heavy
8/1/1973,9-10 ft,heavy
9/2/1973,8 ft,heavy
3/30/1975,7-8 ft,heavy
7/2/1975,9 ft,heavy
5/1/1976,9 ft,heavy
7/18/1980,7-8 ft,heavy
10/1/1980,10 ft,heavy
8/1/1981,10 ft,heavy
6/12/1982,7-8 ft,heavy
9/10/1982,7 ft,heavy
12/13/1985,7-8 ft,very heavy
5/17/1988,7 ft,heavy
4/20/1989,6 ft,heavy
6/22/1990,7-8 ft,heavy
4/5/1991,7 ft,heavy
6/7/1991,7-8 ft,heavy
6/1/1991,7 ft,heavy
2/19/1994,8 ft,heavy
1/22/1996,7-8 ft,heavy
8/23/1968,7-8 ft,heavy
9/1/1968,7-8 ft,heavy
8/8/1970,7-8 ft,very heavy
11/1/1970,7-8 ft,heavy
12/1/1974,7 ft,heavy
4/1/1972,9 ft,heavy
4/24/1974,7-8 ft,heavy
7/1/1974,6 ft,heavy
10/1/1975,6 ft,heavy
7/1/1976,7-8 ft,heavy
7/1/1982,7-8 ft,very heavy
4/9/1986,7 ft,heavy
8/22/1981,8 ft,heavy
6/1/1988,7 ft,heavy
3/13/1994,7-8 ft,heavy
7/1/1993,7-8 ft,heavy
6/1/1993,7-8 ft,very heavy
4/1/1990,7-8 ft,heavy
10/1/1972,7-8 ft,very heavy
10/16/1998,8 ft,heavy
10/1/1982,8 ft,very heavy
7/1/1978,7-8 ft,heavy
7/1/1979,8 ft,heavy
10/15/1998,7-8 ft,heavy
5/1/1997,7 ft,heavy
7/1/1997,8 ft,very heavy
7/16/1997,7 ft,heavy
7/18/1997,7 ft,heavy
7/21/1997,7 ft,heavy
7/21/1997,7 ft,heavy
8/17/1997,7-8 ft,heavy
6/1/1984,7-8 ft,heavy
9/1/1988,8 ft,medium
7/1/1991,8 ft,very heavy
9/23/1993,7-8 ft,heavy
9/9/1996,7 ft,heavy
12/1/1994,7-8 ft,medium
5/14/1998,6 ft,medium
4/1/1993,5-6 ft,very heavy
6/1/1978,7 ft,heavy
10/1/1994,7-8 ft,heavy
7/31/1996,8 ft,very heavy
4/1/1984,8 ft,heavy
9/10/1998,7-8 ft,heavy
9/1/1999,7 ft,heavy
3/1/1996,7 ft,medium
7/1/1993,7 ft,heavy
11/1/1983,8 ft,very heavy
10/1/1980,7 ft,heavy
7/1/1993,7-8 ft,heavy
9/13/1999,7 ft,medium
12/22/1999,7 ft,heavy
2/2/2000,7 ft,medium
5/1/1971,8 ft,heavy
3/28/2000,8 ft,very heavy
11/1/1983,6 ft,very heavy
11/1/1941,7-8 ft,heavy
10/1/1994,7 ft,very heavy
11/1/1979,10 ft,heavy
4/20/1999,8 ft,heavy
4/21/1999,8 ft,heavy
5/1/1992,7 ft,medium
1/11/1998,7 ft,very heavy
11/1/1978,7 ft,heavy
11/1/1984,7 ft,medium
